id_origem;cd_origem;id_categoria_economica;categoria_economica;nome
100;3;7;RECEITA INTRAORCAMENTARIA;RECEITA INTRAORCAMENTARIA - RECEITA PATRIMONIAL
101;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA
102;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - DIVIDA ATIVA
103;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - MULTAS PREVISTAS EM LEGISLACAO ESPECIFICA - DIVIDA ATIVA - MULTA ISOLADA POR INFRACAO A OBRIGACAO ACESSORIA
104;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - COTA-PARTE DO IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS - ESTADOS EXPORTADORES DE PRODUTOS INDUSTRIALIZADOS - PRINCIPAL - FUNDEB
105;9;2;RECEITAS DE CAPITAL;OUTRAS RECEITAS DE CAPITAL
106;9;9;DEDUCAO DAS RECEITAS;SEM DESCRICAO
107;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTOS SOBRE O PATRIMONIO PARA ESTADOS/DF/MUNICIPIOS
108;1;9;DEDUCOES DA RECEITA CORRENTE;"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - DIVIDA ATIVA - MULTAS E JUROS"
109;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTOS SOBRE A PRODUCAO, CIRCULACAO DE MERCADORIAS E SERVICOS
110;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - REMUNERACAO DOS RECURSOS DO REGIME PROPRIO DE PREVIDENCIA SOCIAL - RPPS
111;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS - PRINCIPAL - TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL
112;2;7;RECEITA INTRAORCAMENTARIA;RECEITA INTRAORCAMENTARIA - CONTRIBUICOES
113;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - MULTAS E JUROS
114;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA - COTA PARTE DO ESTADO PARA O FUNDEB
115;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - VALORES MOBILIARIOS
116;5;7;RECEITA INTRAORCAMENTARIA;RECEITA INTRAORCAMENTARIA - RECEITA INDUSTRIAL
117;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - REMUNERACAO DOS RECURSOS DO REGIME PROPRIO DE PREVIDENCIA SOCIAL - RPPS - PRINCIPAL - RENDA VARIAVEL
118;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS
119;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - OUTROS VALORES MOBILIARIOS - PRINCIPAL
120;1;1;RECEITAS CORRENTES;IMPOSTOS, TAXAS E CONTRIBUICOES DE MELHORIA
121;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - MULTAS E JUROS - COTA PARTE DO ESTADO PARA O FUNDEB
122;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA - MULTAS E JUROS - COTA PARTE DO ESTADO PARA O FUNDEB
